,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1093,콜라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5kcal,200 ml,92,23,-,-,12,--
1094,고구마샐러드게맛살과일샐러드대,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156.45kcal,110 g,165,28,3,1,170,10
1095,양배추쌈오이무침대,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106.33kcal,1 개,25,2,-,2,--,--
1096,오이양파장아찌야채샐러드대,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,37.71kcal,100 g,39,7,-,1,703,--
1097,무나물오이무침대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.69kcal,50 g,33,2,2,-,280,--
1098,브로콜리초고추장오이부추무침대,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.53kcal,100 g,244,46,4,3,"1,670",--
1099,돼지고기김치볶음쇠고기,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,260.56kcal,80 g,105,2,7,6,358,63
1100,시금치고추장무침오이무침대,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60.83kcal,32 g (2Tbsp),190,7,16,7,125,--
1101,무나물무생채대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.69kcal,50 g,33,2,2,-,280,--
1102,소불고기덮밥소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,241.2kcal,130 g,143,16,2,13,"2,743",13
1103,치킨너겟강정,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,356.71kcal,30 g/약3개,65,5,3,4,140,10
1104,아이스크림 바,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126kcal,1 piece,245,18,17,3,46,70
1105,골뱅이오징어채볶음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,169.24kcal,20 g,55,8,-,3,232,33
1106,콩나물닭볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,195.07kcal,100 g,95,13,3,4,280,--
1107,우엉채조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.23kcal,100 g,88,21,-,2,240,--
1108,문어야채초고추장무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.28kcal,100 g,244,46,4,3,"1,670",--
1109,낙지야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,125.69kcal,1 소접시,90,-,-,-,--,--
1110,볶음김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19kcal,1 봉지,120,9,8,4,540,2
1111,꽈리고추찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79kcal,30 g,22,4,-,-,100,--
1112,닭고기단호박조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,194.83kcal,200 g,287,50,10,3,948,--
1113,두부된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.66kcal,350 g (1중간접시),941,29,59,72,"1,341",189
1114,생선묵맛살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75.87kcal,100 g,128,5,7,10,560,35
1115,비엔나소시지케찹조림,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,282.91kcal,2 개,95,1,8,5,230,15
