,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1512,브로콜리게맛살튀김,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,350,15.555555555555555,0.0,11.666666666666666,0.0,0.0
1513,토마토슬라이스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1.6545454545454545,0.0,0.2545454545454545,6.363636363636363,0.0
1514,순살닭고기고구마조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,307,14.390625,19.1875,19.1875,1144.0546875,43.171875
1515,딸기쨈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,15.36,0.0,0.0,2.56,0.0
1516,매운돼지갈비고구마조림,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,350,21.715328467153284,17.883211678832115,25.547445255474454,0.0,0.0
1517,쌈무깻잎쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13.303370786516854,0.8314606741573034,3.3258426966292136,1060.112359550562,0.0
1518,고추참치야채볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0.0,0.0,0.0,0.0,0.0
1519,세절형김,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.06666666666666667,0.13333333333333333,0.06666666666666667,3.6666666666666665,0.0
1520,김말이튀김,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,613,78.464,29.424,4.904,961.184,2.452
1521,쇠고기꽈리고추조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,133,20.68888888888889,0.7388888888888889,11.083333333333334,1307.8333333333333,36.94444444444444
1522,양배추국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2.72,1.36,2.04,291.72,3.4
1523,상추깻잎청경채쌈무,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0.0,0.0,0.0,0.0,0.0
1524,돼지삼겹야채볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,493,0.0,0.0,0.0,0.0,0.0
1525,새우살배추된장국,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,88,0.0,0.0,0.0,0.0,0.0
1526,닭고기마늘강정,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,656,131.2,0.0,10.933333333333334,218.66666666666666,0.0
1527,대패삼겹숙주덮밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,102.65185185185184,21.28148148148148,18.77777777777778,0.0,0.0
1528,오징어링튀김,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350,41.08695652173913,18.26086956521739,4.565217391304348,0.0,15.217391304347826
1529,호박된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4.308333333333334,0.39166666666666666,2.7416666666666667,459.425,0.0
1530,미트볼야채볶음,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,292,0.0,0.0,0.0,0.0,0.0
1531,닭순살간장통마늘볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,273,6.970212765957447,8.13191489361702,44.14468085106383,1266.2553191489362,464.6808510638298
1532,김치볶음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2.3275862068965516,6.982758620689655,3.103448275862069,0.0,0.0
1533,새우순살짬뽕찌개,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,255,37.75961538461539,8.826923076923077,5.884615384615385,617.8846153846154,0.0
