,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
1036,키조개,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,0.0,0.0,6.044444444444444,157.15555555555557,0.0,8
1037,사과샐러드,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206.0,16.57471264367816,11.839080459770114,8.68199233716475,303.86973180076626,10.260536398467432,10
1038,오이풋고추쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,8.75,3.5,1.75,7.0,0.0,5
1039,명태순살강정,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,427.0,36.42058823529412,20.094117647058823,26.373529411764707,213.5,100.47058823529412,6
1040,콩나물돼지불고기,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,366.0,12.119205298013243,24.23841059602649,24.23841059602649,339.3377483443709,72.71523178807946,8
1041,토마토계란볶음,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,95.0,19.535211267605632,0.5352112676056338,2.676056338028169,310.4225352112676,0.0,9
1042,고등어튀김양념장소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,397.0,29.775,19.85,19.85,0.0,0.0,4
1043,두유 고칼슘,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,11.846153846153848,6.461538461538462,7.538461538461538,172.30769230769232,0.0,6
1044,쌀국수사골맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.0,71.0,2.0,7.0,1320.0,0.0,4
1045,진라면매운맛용기라면,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,500.0,80.0,15.0,11.0,0.0,0.0,7
1046,꽁치김치조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104.0,5.76,6.72,5.12,496.0,27.2,7
1047,골뱅이굴소스볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0,27.605700712589076,1.7695961995249403,5.66270783847981,438.8598574821853,1.7695961995249403,6
1048,용기면쌀국수김치맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466.0,66.0,18.0,7.0,1229.0,0.0,6
1049,김치왕뚜껑용기라면,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,432.0,57.27272727272727,18.818181818181817,7.363636363636363,1764.0,0.0,6
1050,쭈꾸미덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800.0,175.68627450980392,3.1372549019607843,17.254901960784313,658.8235294117648,0.0,9
1051,굴패주해산물야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0,7.865546218487394,7.865546218487394,13.109243697478991,382.78991596638656,0.0,2
1052,야채스틱앤저염쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,12.404494382022472,0.7752808988764045,3.101123595505618,988.4831460674158,0.0,2
1053,쇠고기당면국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.0,1.2533333333333334,2.506666666666667,3.76,520.1333333333333,12.533333333333331,7
1054,게맛살마요무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,2.6222222222222222,0.0,1.9666666666666663,0.0,0.0,7
1055,청양마요치킨,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,456.0,107.29411764705884,0.0,0.0,0.0,0.0,7
1056,사이다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,24.5,0.0,0.0,6.125,0.0,7
1057,마요오징어실채무침,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90.0,2.857142857142857,1.4285714285714286,14.285714285714286,250.0,85.71428571428571,6
1058,쇠고기팽이버섯떡볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,146.0,17.804878048780488,7.121951219512195,3.5609756097560976,24.92682926829268,0.0,7
1059,파채돈가스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,475.0,64.04494382022472,10.674157303370787,28.46441947565543,1126.123595505618,40.91760299625468,7
1060,뿌리채소닭순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,237.0,54.17142857142857,0.0,6.771428571428571,318.25714285714287,0.0,4
1061,달걀케첩볶음밥,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,524.0,87.81318681318682,10.076923076923077,21.593406593406595,524.0,84.93406593406593,7
1062,음료수탄산콜라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,14.561702127659574,6.025531914893617,1.5063829787234042,110.46808510638296,0.0,7
1063,햄버그스테이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457.0,20.0,29.0,26.0,950.0,70.0,7
1064,코코아 음료 분말,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.0,101.4153846153846,0.0,0.0,253.53846153846155,0.0,7
1065,감자수제비국,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,11.28061224489796,1.0255102040816326,2.563775510204082,346.9642857142857,16.57908163265306,7
1066,돈육굴소스양배추볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,164.0,23.428571428571427,6.768253968253968,2.342857142857143,0.0,0.0,6
1067,모듬어묵조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,11.79527559055118,1.68503937007874,10.952755905511813,0.0,0.0,6
1068,베이컨김치볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,472.0,81.10422535211268,11.966197183098592,10.63661971830986,1063.661971830986,39.88732394366197,9
1069,배추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,7.230769230769231,0.0,0.0,235.0,0.0,7
1070,중화식돈까스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,618.0,85.83333333333333,10.3,44.63333333333333,1167.3333333333333,0.0,5
